state_full,state,wage,1990,1995,2000,2005,2010,2015
United.States,USA,23618,29943,34076,41990,46326,49276,56516
Alabama,AL,18333,23357,25991,35424,37150,40933,44509
Alaska,AK,34782,39298,47954,52847,55891,57848,75112
Arizona,AZ,23877,29224,30863,39783,45245,46896,52248
Arkansas,AR,17451,22786,25814,29697,36658,38587,42798
California,CA,26981,33290,37009,46816,51755,54283,63636
Colorado,CO,28182,30733,40706,48240,50449,60233,66596
Connecticut,CT,31090,38870,40243,50172,56835,65998,72889
Delaware,DE,22980,30804,34928,50365,51235,55214,57756
D.C.,DC,21076,27392,30748,41222,44993,56928,70071
Florida,FL,21343,26685,29745,38856,42990,44066,48825
Georgia,GA,21049,27561,34099,41901,45926,44117,50768
Hawaii,HI,28961,38921,42851,51546,59586,59539,64514
Idaho,ID,20761,25305,32676,37611,44176,47050,51624
Illinois,IL,24870,32542,38071,46064,48398,50728,60413
Indiana,IN,22675,26928,33385,40865,42437,46139,51983
Iowa,IA,20927,27288,35519,40991,46500,49016,60855
Kansas,KS,22788,29917,30341,41059,42027,46054,54865
Kentucky,KY,17361,24780,29810,36265,36699,41104,42387
Louisiana,LA,21179,22405,27949,30718,37236,39300,45922
Maine,ME,20519,27464,33858,37266,43923,47931,50756
Maryland,MD,30136,38857,41041,54535,60512,64201,73594
Massachusetts,MA,28207,36247,38574,46753,56017,60934,67861
Michigan,MI,24242,29937,36426,45512,45933,46276,54203
Minnesota,MN,23856,31465,37933,54251,54215,52321,68730
Mississippi,MS,16413,20178,26538,34299,32875,38160,40037
Missouri,MO,21939,27332,34825,45097,42986,45817,59196
Montana,MT,20236,23375,27757,32777,37313,41280,51395
Nebraska,NE,21799,27482,32929,41750,47923,52504,60474
Nevada,NV,23274,32023,36084,45758,48209,51200,52008
New.Hampshire,NH,26403,40805,39171,50926,56984,66633,75675
New.Jersey,NJ,30980,38734,43924,50405,63368,62968,68357
New.Mexico,NM,20423,25039,25991,35093,38947,45134,45119
New.York,NY,23639,31591,33028,40744,47176,49781,58005
North.Carolina,NC,21451,26329,31979,38317,42056,43830,50797
North.Dakota,ND,21205,25264,29089,35996,42192,51006,57415
Ohio,OH,25174,30013,34941,42962,44203,45886,53301
Oklahoma,OK,21205,24384,26311,32432,37645,43103,47077
Oregon,OR,21894,29281,36374,42499,44159,50602,60834
Pennsylvania,PA,22877,29005,34524,42176,46300,48314,60389
Rhode.Island,RI,24625,31968,35359,42197,49484,51623,55701
South.Carolina,SC,20036,28735,29071,37570,40230,41698,46360
South.Dakota,SD,18142,24571,29578,36475,43151,45352,55065
Tennessee,TN,17778,22592,29015,34096,39406,38591,47330
Texas,TX,23743,28228,32039,38609,41422,47266,56473
Utah,UT,25238,30142,36480,47550,54813,56701,66258
Vermont,VT,26000,31098,33824,39594,50704,55928,59494
Virginia,VA,28429,35073,36222,47163,51914,60367,61486
Washington,WA,24000,32112,35568,42525,50646,56163,67243
West.Virginia,WV,15983,22137,24880,29411,36445,42777,42824
Wisconsin,WI,23246,30711,40955,45088,44650,50351,55425
Wyoming,WY,22081,29460,31529,39629,44718,52201,60925